Страница,Комментарий исполнителя,Комментарий проверяющего,Описание бага,Приоритет,Проверяющий,"Разрешение, Система, браузер, версия",Скрин или видео,Статус
https://utopia.esipof.com/,Закрыт ранее.,,"добавить нижний отступ после загловка, как в макете - It’s all yours",,,"safari, Iphone 17 pro",%D0%A2%D0%B0%D0%B1%D0%BB%D0%B8%D1%86%D0%B0%20%D1%82%D0%B5%D1%81%D1%82%D0%B8%D1%80%D0%BE%D0%B2%D0%BA%D0%B8%20Utopia/IMG_7645.heic,Исправлен
https://utopia.esipof.com/,"Не воспроизводится: замерено на 378/640/768/1023/1024/1440/1920 в обоих вариантах — ровно один видимый триггер закрытия на каждой ширине, хит-тест в центре возвращает сам элемент, клик снимает блокировку прокрутки, Escape тоже закрывает. На увеличенном фрагменте вашего скриншота видно, что в задеплоенной сборке при открытом меню рисовался гамбургер; рабочее дерево рендерит close.svg. Снято со старого деплоя.",,"при открытии меню в адаптивах, нет значка по которому можем закрыть ",,,"safari, Iphone 17 pro",%D0%A2%D0%B0%D0%B1%D0%BB%D0%B8%D1%86%D0%B0%20%D1%82%D0%B5%D1%81%D1%82%D0%B8%D1%80%D0%BE%D0%B2%D0%BA%D0%B8%20Utopia/IMG_7646.png,Можно проверять
https://utopia.esipof.com/,Закрыт ранее.,На Дубай забираем эту картинку https://www.figma.com/design/zhvhlOZzgqXYNm3wsZWKAM/Utopia-x-Embacy---IN?node-id=4073-9184&t=7NlA60bEZmjLqJaY-1,на дубай в фигме стоит др. изображение.  Оставляем то что на сайте? @Sergei Esipov @Irina N ,,,"safari, Iphone 17 pro",%D0%A2%D0%B0%D0%B1%D0%BB%D0%B8%D1%86%D0%B0%20%D1%82%D0%B5%D1%81%D1%82%D0%B8%D1%80%D0%BE%D0%B2%D0%BA%D0%B8%20Utopia/%D0%A1%D0%BD%D0%B8%D0%BC%D0%BE%D0%BA_%D1%8D%D0%BA%D1%80%D0%B0%D0%BD%D0%B0__2026-07-20_%D0%B2_13.58.42.png,Исправлен
https://utopia.esipof.com/,"Секция Opening. Ведётся параллельно отдельной задачей по видео, в этот батч не входила.",,"отпустить изображение ниже, согласно фигме - https://www.figma.com/design/zhvhlOZzgqXYNm3wsZWKAM/Utopia-x-Embacy---IN?node-id=3649-4810&t=DWyELU7gbJWbUNUt-0",,,"safari, Iphone 17 pro",%D0%A2%D0%B0%D0%B1%D0%BB%D0%B8%D1%86%D0%B0%20%D1%82%D0%B5%D1%81%D1%82%D0%B8%D1%80%D0%BE%D0%B2%D0%BA%D0%B8%20Utopia/IMG_7647.heic,Открыто
https://utopia.esipof.com/,"Сверка с макетом невозможна: узел 3891-3429 лежит в облачном файле zhvhlOZzgqXYNm3wsZWKAM, локальный Figma-плагин отвечает «No node could be found». Наш порядок — Contact → Careers → About — замерен на 378/768/1440 в обоих футерах и совпадает с desktop_v10, v3 и v9-mobile. Назовите желаемый порядок словами, и мы его поставим.",,"выставить очередность страниц в футере, согласно фигме - https://www.figma.com/design/zhvhlOZzgqXYNm3wsZWKAM/Utopia-x-Embacy---IN?node-id=3891-3429&t=DWyELU7gbJWbUNUt-0",,,"safari, Iphone 17 pro",%D0%A2%D0%B0%D0%B1%D0%BB%D0%B8%D1%86%D0%B0%20%D1%82%D0%B5%D1%81%D1%82%D0%B8%D1%80%D0%BE%D0%B2%D0%BA%D0%B8%20Utopia/IMG_7648.heic,Требует уточнения
https://utopia.esipof.com/,"Не воспроизводится: живая прокрутка колесом до низа на / , /careers и /terms при 378/768/1440 — девять комбинаций, во всех paused=false, readyState=4, currentTime растёт, error=null. ОСТАТОЧНЫЙ РИСК: Safari берёт первый источник footer-leaves.hevc.mp4 (codecs=hvc1), а эта ветка декодирования в headless Chrome непроверяема. Просьба перепроверить именно на Safari.",,в футере не проигрывается видос на фоне,,,"safari, Iphone 17 pro",,Можно проверять
https://utopia.esipof.com/careers,"Не воспроизводится: <a href=""/"">Learn more</a> подтверждён на 378/768/1440. Ведёт на главную, как вы и просили.",на главную,куда ведет кнопка Learn more? @Irina N ,,,,%D0%A2%D0%B0%D0%B1%D0%BB%D0%B8%D1%86%D0%B0%20%D1%82%D0%B5%D1%81%D1%82%D0%B8%D1%80%D0%BE%D0%B2%D0%BA%D0%B8%20Utopia/%D0%A1%D0%BD%D0%B8%D0%BC%D0%BE%D0%BA_%D1%8D%D0%BA%D1%80%D0%B0%D0%BD%D0%B0__2026-07-20_%D0%B2_14.05.06.png,Можно проверять
https://utopia.esipof.com/careers,"Обводка уже соответствует макету — тикет опередил переверстку Careers. Спецификация взята из Figma (154:8351/8352/8356): border 1px rgba(28,28,28,0.55), радиус 100px, поле 285 широкое и 49 высокое. Наш замер во всех восьми комбинациях ширина×вариант: ровно эта рамка, радиус 100px, 285×49 + 691×49 при 1440/1920, 314+314+648 при 768, 163+163+346 при 378. На вашем скриншоте от 20.07 пилюли 285×40 — это геометрия до переверстки.",,поставить обводку как в фигме,,,"Safari, Desktop",%D0%A2%D0%B0%D0%B1%D0%BB%D0%B8%D1%86%D0%B0%20%D1%82%D0%B5%D1%81%D1%82%D0%B8%D1%80%D0%BE%D0%B2%D0%BA%D0%B8%20Utopia/%D0%A1%D0%BD%D0%B8%D0%BC%D0%BE%D0%BA_%D1%8D%D0%BA%D1%80%D0%B0%D0%BD%D0%B0__2026-07-20_%D0%B2_14.05.43.png,Можно проверять
https://utopia.esipof.com/careers,"Не воспроизводится: h3.teamName даёт font-weight 400 (16px на 378, 18px на 768/1440), семейство NB International Pro, и document.fonts подтверждает загруженное настоящее начертание 400 — синтетического жирного нет. То же у .roleTitle и .rolePill.",,"проверить жирность заголовков в карточках, в макете тоньше  (Design development, Operations …)",,,"Safari, Desktop","%D0%A2%D0%B0%D0%B1%D0%BB%D0%B8%D1%86%D0%B0%20%D1%82%D0%B5%D1%81%D1%82%D0%B8%D1%80%D0%BE%D0%B2%D0%BA%D0%B8%20Utopia/%D0%A1%D0%BD%D0%B8%D0%BC%D0%BE%D0%BA_%D1%8D%D0%BA%D1%80%D0%B0%D0%BD%D0%B0__2026-07-20_%D0%B2_14.07.58.png, %D0%A2%D0%B0%D0%B1%D0%BB%D0%B8%D1%86%D0%B0%20%D1%82%D0%B5%D1%81%D1%82%D0%B8%D1%80%D0%BE%D0%B2%D0%BA%D0%B8%20Utopia/%D0%A1%D0%BD%D0%B8%D0%BC%D0%BE%D0%BA_%D1%8D%D0%BA%D1%80%D0%B0%D0%BD%D0%B0__2026-07-20_%D0%B2_14.08.16.png, %D0%A2%D0%B0%D0%B1%D0%BB%D0%B8%D1%86%D0%B0%20%D1%82%D0%B5%D1%81%D1%82%D0%B8%D1%80%D0%BE%D0%B2%D0%BA%D0%B8%20Utopia/%D0%A1%D0%BD%D0%B8%D0%BC%D0%BE%D0%BA_%D1%8D%D0%BA%D1%80%D0%B0%D0%BD%D0%B0__2026-07-20_%D0%B2_14.09.18.png, %D0%A2%D0%B0%D0%B1%D0%BB%D0%B8%D1%86%D0%B0%20%D1%82%D0%B5%D1%81%D1%82%D0%B8%D1%80%D0%BE%D0%B2%D0%BA%D0%B8%20Utopia/%D0%A1%D0%BD%D0%B8%D0%BC%D0%BE%D0%BA_%D1%8D%D0%BA%D1%80%D0%B0%D0%BD%D0%B0__2026-07-20_%D0%B2_14.09.24.png",Можно проверять
https://utopia.esipof.com/careers,"Ваш ответ («на второй экран со списком вакансий») принят, но правка в этот батч не вошла — нужен якорь на секцию списка. Подтвердите, и сделаем.",на второй экран со списком вакансий,куда ведет кнопка submit? @Irina N ,,,,%D0%A2%D0%B0%D0%B1%D0%BB%D0%B8%D1%86%D0%B0%20%D1%82%D0%B5%D1%81%D1%82%D0%B8%D1%80%D0%BE%D0%B2%D0%BA%D0%B8%20Utopia/%D0%A1%D0%BD%D0%B8%D0%BC%D0%BE%D0%BA_%D1%8D%D0%BA%D1%80%D0%B0%D0%BD%D0%B0__2026-07-20_%D0%B2_14.12.20.png,Требует уточнения
